LAI,CAC,Sensible heat flux (kJ/hr),Latent heat flux (kg/hr)
0.008616,0.003338,-0.149767,0.000193
0.008640,0.003347,-0.150193,0.000193
0.008665,0.003357,-0.150620,0.000194
0.008689,0.003366,-0.151048,0.000194
0.008714,0.003376,-0.151477,0.000195
0.008739,0.003385,-0.151907,0.000195
0.008764,0.003395,-0.152338,0.000196
0.008788,0.003405,-0.152769,0.000196
0.008814,0.003414,-0.153203,0.000197
0.008838,0.003424,-0.153636,0.000198
0.008863,0.003434,-0.154073,0.000198
0.008889,0.003443,-0.154509,0.000199
0.008914,0.003453,-0.154945,0.000199
0.008939,0.003463,-0.155385,0.000200
0.008964,0.003473,-0.155825,0.000200
0.008990,0.003483,-0.156265,0.000201
0.009015,0.003492,-0.156706,0.000202
0.009040,0.003502,-0.157149,0.000202
0.009066,0.003512,-0.157594,0.000203
0.009092,0.003522,-0.158039,0.000203
0.009117,0.003532,-0.158486,0.000204
0.009143,0.003542,-0.158933,0.000204
0.009169,0.003552,-0.159381,0.000205
0.009195,0.003562,-0.159831,0.000206
0.009221,0.003572,-0.160282,0.000206
0.009247,0.003582,-0.160734,0.000207
0.009273,0.003592,-0.161186,0.000207
0.009299,0.003602,-0.161641,0.000208
0.009325,0.003612,-0.162095,0.000208
0.009351,0.003623,-0.162552,0.000209
0.009378,0.003633,-0.163009,0.000210
0.009404,0.003643,-0.163468,0.000210
0.009430,0.003653,-0.163927,0.000211
0.009457,0.003664,-0.164388,0.000211
0.009484,0.003674,-0.164850,0.000212
0.009510,0.003684,-0.165314,0.000213
0.009537,0.003695,-0.165778,0.000213
0.009564,0.003705,-0.166242,0.000214
0.009591,0.003715,-0.166710,0.000214
0.009617,0.003726,-0.167177,0.000215
0.009644,0.003736,-0.167647,0.000216
0.009671,0.003747,-0.168116,0.000216
0.009699,0.003757,-0.168587,0.000217
0.009726,0.003768,-0.169060,0.000217
0.009753,0.003778,-0.169533,0.000218
0.009780,0.003789,-0.170007,0.000219
0.009808,0.003799,-0.170484,0.000219
0.009835,0.003810,-0.170960,0.000220
0.009862,0.003821,-0.171438,0.000220
0.009890,0.003831,-0.171918,0.000221
0.009918,0.003842,-0.172399,0.000222
0.009945,0.003853,-0.172881,0.000222
0.009973,0.003864,-0.173364,0.000223
0.010001,0.003874,-0.173845,0.000224
0.010029,0.003885,-0.174332,0.000224
0.010057,0.003896,-0.174819,0.000225
0.010085,0.003907,-0.175306,0.000225
0.010113,0.003918,-0.175792,0.000226
0.010141,0.003929,-0.176279,0.000227
0.010170,0.003940,-0.176783,0.000227
0.010198,0.003951,-0.177270,0.000228
0.010226,0.003962,-0.177757,0.000229
0.010255,0.003973,-0.178261,0.000229
0.010283,0.003984,-0.178747,0.000230
0.010312,0.003995,-0.179252,0.000231
0.010341,0.004006,-0.179756,0.000231
0.010369,0.004017,-0.180242,0.000232
0.010398,0.004028,-0.180746,0.000232
0.010427,0.004039,-0.181251,0.000233
0.010456,0.004051,-0.181755,0.000234
0.010485,0.004062,-0.182259,0.000234
0.010514,0.004073,-0.182763,0.000235
0.010543,0.004084,-0.183267,0.000236
0.010573,0.004096,-0.183788,0.000236
0.010602,0.004107,-0.184293,0.000237
0.010631,0.004118,-0.184797,0.000238
0.010661,0.004130,-0.185318,0.000238
0.010690,0.004141,-0.185822,0.000239
0.010720,0.004153,-0.186344,0.000240
0.010749,0.004164,-0.186848,0.000240
0.010779,0.004176,-0.187369,0.000241
0.010809,0.004187,-0.187891,0.000242
0.010839,0.004199,-0.188412,0.000242
0.010869,0.004211,-0.188934,0.000243
